set_id,set_kind,target_id,positive_target,family,params,core_rank,best_branch_rank,legacy_multi_branch_rank,final_rank,core_score,branch_score,branch_confidence,branch_member_count,support_ratio,applied_weight,bonus,positive_rescue_3,positive_rescue_5,false_boost_count,false_boost_rank_gain_sum,false_boost_mean_rank_gain,top3_false_boost,top5_false_boost
aoko_set_01,cohesive,C019,缘,Current Baseline,{},1,1,1,1,70.22,70.21761782140037,0.8764,3,1.0,0.0,0.3274,False,False,0,0.0,0.0,0,0
aoko_set_01,cohesive,C024,Allan Melville,Current Baseline,{},2,2,2,1,65.14,65.13646882379743,0.8705,3,1.0,0.0,0.4227,False,False,0,0.0,0.0,0,0
aoko_set_01,cohesive,C015,Tyril I Lister,Current Baseline,{},10,10,10,10,55.57,55.56809218511428,0.8912,3,1.0,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_01,cohesive,C005,杨,Current Baseline,{},13,13,13,12,56.75,56.74905204405841,0.8734,3,1.0,0.0,0.5109,False,False,0,0.0,0.0,0,0
aoko_set_02,cohesive,C001,柳爱时,Current Baseline,{},11,7,9,11,57.8,59.15574506222943,0.7526,2,0.6666666666666666,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_02,cohesive,C014,Impey Barbicane,Current Baseline,{},12,12,12,12,58.82,58.821876950370644,0.8556,3,1.0,0.0,1.0102,False,False,0,0.0,0.0,0,0
aoko_set_02,cohesive,C021,Vilio,Current Baseline,{},6,6,6,6,65.12,65.12462243012197,0.8615,3,1.0,0.0,0.4821,False,False,0,0.0,0.0,0,0
aoko_set_02,cohesive,C015,Tyril I Lister,Current Baseline,{},12,12,12,12,54.63,54.625844288809375,0.8615,3,1.0,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C019,缘,Current Baseline,{},4,1,1,4,62.2,72.79372001488095,0.7763,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C024,Allan Melville,Current Baseline,{},4,1,1,4,61.42,72.00130930059524,0.7685,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C022,光森壱哉,Current Baseline,{},4,3,4,4,61.09,62.99827008928571,0.7922,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C025,平重衡,Current Baseline,{},7,5,8,7,56.58,59.01643191964286,0.7682,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C026,YOFY,Current Baseline,{},9,6,11,9,55.17,57.68702108134921,0.7763,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_04,mixed,C005,杨,Current Baseline,{},26,9,25,26,47.07,53.88262605406745,0.7919,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_04,mixed,C001,柳爱时,Current Baseline,{},26,25,25,26,43.95,50.06267921401515,0.7763,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_04,mixed,C014,Impey Barbicane,Current Baseline,{},26,26,26,26,45.03,50.065084099927844,0.788,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_04,mixed,C026,YOFY,Current Baseline,{},26,9,25,26,47.31,54.4113994295635,0.7961,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_04,mixed,C025,平重衡,Current Baseline,{},25,1,16,25,52.67,61.501337053571426,0.788,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_05,mixed,C001,柳爱时,Current Baseline,{},25,12,22,25,51.63,58.77603659361471,0.7448,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_05,mixed,C019,缘,Current Baseline,{},13,1,9,13,58.82,65.50963913690477,0.7486,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_05,mixed,C015,Tyril I Lister,Current Baseline,{},16,13,21,16,58.36,55.35267857142857,0.7685,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
aoko_set_05,mixed,C022,光森壱哉,Current Baseline,{},22,13,21,22,52.45,56.59877008928571,0.7646,2,0.5,0.0,0.0,False,False,0,0.0,0.0,0,0
