set_id,set_kind,target_id,positive_target,family,params,core_rank,best_branch_rank,legacy_multi_branch_rank,final_rank,core_score,branch_score,branch_confidence,branch_member_count,support_ratio,applied_weight,bonus,positive_rescue_3,positive_rescue_5,false_boost_count,false_boost_rank_gain_sum,false_boost_mean_rank_gain,top3_false_boost,top5_false_boost
aoko_set_01,cohesive,C019,缘,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",1,1,1,1,70.21761782140037,70.21761782140037,0.8764,3,1.0,0.2191,0.0,False,False,0,0.0,0.0,0,0
aoko_set_01,cohesive,C024,Allan Melville,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",2,2,2,2,65.13646882379743,65.13646882379743,0.8705,3,1.0,0.217625,0.0,False,False,0,0.0,0.0,0,0
aoko_set_01,cohesive,C015,Tyril I Lister,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",10,10,10,10,55.56809218511428,55.56809218511428,0.8912,3,1.0,0.2228,0.0,False,False,0,0.0,0.0,0,0
aoko_set_01,cohesive,C005,杨,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",13,13,13,13,56.74905204405841,56.74905204405841,0.8734,3,1.0,0.21835,0.0,False,False,0,0.0,0.0,0,0
aoko_set_02,cohesive,C001,柳爱时,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",11,7,9,10,57.795533986332735,59.15574506222943,0.7526,2,0.6666666666666666,0.12543333333333334,0.17061580928664186,False,False,0,0.0,0.0,0,0
aoko_set_02,cohesive,C014,Impey Barbicane,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",12,12,12,12,58.821876950370644,58.821876950370644,0.8556,3,1.0,0.2139,0.0,False,False,0,0.0,0.0,0,0
aoko_set_02,cohesive,C021,Vilio,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",6,6,6,6,65.12462243012197,65.12462243012197,0.8615,3,1.0,0.215375,0.0,False,False,0,0.0,0.0,0,0
aoko_set_02,cohesive,C015,Tyril I Lister,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",12,12,12,12,54.625844288809375,54.625844288809375,0.8615,3,1.0,0.215375,0.0,False,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C019,缘,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",4,1,1,3,62.19812946039798,72.79372001488095,0.7763,2,0.5,0.0970375,1.028169618430641,True,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C024,Allan Melville,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",4,1,1,4,61.42491083566408,72.00130930059524,0.7685,2,0.5,0.0960625,1.0159952775374494,False,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C022,光森壱哉,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",4,3,4,4,61.08536367272348,62.99827008928571,0.7922,2,0.5,0.099025,0.1894255579000748,False,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C025,平重衡,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",7,5,8,7,56.583898898809515,59.01643191964286,0.7682,2,0.5,0.096025,0.23358398332552213,False,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C026,YOFY,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",9,6,11,9,55.16792816964284,57.68702108134921,0.7763,2,0.5,0.0970375,0.2444464784197065,False,False,0,0.0,0.0,0,0
aoko_set_04,mixed,C005,杨,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",26,9,25,26,47.07467806015788,53.88262605406745,0.7919,2,0.5,0.0989875,0.6739017520471238,False,False,0,0.0,0.0,0,0
aoko_set_04,mixed,C001,柳爱时,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",26,25,25,26,43.95319307947433,50.06267921401515,0.7763,2,0.5,0.0970375,0.5928492607805045,False,False,0,0.0,0.0,0,0
aoko_set_04,mixed,C014,Impey Barbicane,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",26,26,26,26,45.02868347783506,50.065084099927844,0.788,2,0.5,0.0985,0.49608546127613934,False,False,0,0.0,0.0,0,0
aoko_set_04,mixed,C026,YOFY,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",26,9,25,26,47.31248916419505,54.4113994295635,0.7961,2,0.5,0.0995125,0.7064303077824782,False,False,0,0.0,0.0,0,0
aoko_set_04,mixed,C025,平重衡,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",25,1,16,25,52.67477838517184,61.501337053571426,0.788,2,0.5,0.0985,0.8694160288373591,False,False,0,0.0,0.0,0,0
aoko_set_05,mixed,C001,柳爱时,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",25,12,22,24,51.629930327969134,58.77603659361471,0.7448,2,0.5,0.0931,0.6653024933316033,False,False,0,0.0,0.0,0,0
aoko_set_05,mixed,C019,缘,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",13,1,9,12,58.81802027836134,65.50963913690477,0.7486,2,0.5,0.093575,0.6261682346882014,False,False,0,0.0,0.0,0,0
aoko_set_05,mixed,C015,Tyril I Lister,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",16,13,21,17,58.363903486721604,55.35267857142857,0.7685,2,0.5,0.0960625,0.0,False,False,0,0.0,0.0,0,0
aoko_set_05,mixed,C022,光森壱哉,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",22,13,21,22,52.45234833829366,56.59877008928571,0.7646,2,0.5,0.095575,0.3962942588510649,False,False,0,0.0,0.0,0,0
aoko_set_05,mixed,C021,Vilio,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",17,11,17,17,56.80150966765872,59.02620287698412,0.7685,2,0.5,0.0960625,0.21370959142082138,False,False,0,0.0,0.0,0,0
aoko_set_06,mixed,C005,杨,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",25,9,20,25,49.420058047902764,57.44745089285714,0.8,2,0.5,0.1,0.8027392844954377,False,False,0,0.0,0.0,0,0
aoko_set_06,mixed,C014,Impey Barbicane,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",25,21,25,25,48.31190586029634,56.05261656746032,0.7724,2,0.5,0.09655,0.747365618776682,False,False,0,0.0,0.0,0,0
aoko_set_06,mixed,C024,Allan Melville,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",13,8,15,14,54.756802450396826,55.44218191964285,0.7961,2,0.5,0.0995125,0.06820382443334483,False,False,0,0.0,0.0,0,0
aoko_set_06,mixed,C025,平重衡,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",23,8,17,23,52.35255517915499,57.73344754464286,0.7961,2,0.5,0.0995125,0.5354660515206113,False,False,0,0.0,0.0,0,0
aoko_set_06,mixed,C021,Vilio,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.25, ""support_mode"": ""ratio""}",10,2,5,9,56.2661461715368,64.50756448412699,0.7802,2,0.5,0.097525,0.8037443209353577,False,False,0,0.0,0.0,0,0
aoko_set_01,cohesive,C019,缘,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.5, ""support_mode"": ""ratio""}",1,1,1,1,70.21761782140037,70.21761782140037,0.8764,3,1.0,0.4382,0.0,False,False,0,0.0,0.0,0,0
aoko_set_01,cohesive,C024,Allan Melville,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.5, ""support_mode"": ""ratio""}",2,2,2,2,65.13646882379743,65.13646882379743,0.8705,3,1.0,0.43525,0.0,False,False,0,0.0,0.0,0,0
aoko_set_01,cohesive,C015,Tyril I Lister,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.5, ""support_mode"": ""ratio""}",10,10,10,10,55.56809218511428,55.56809218511428,0.8912,3,1.0,0.4456,0.0,False,False,0,0.0,0.0,0,0
aoko_set_01,cohesive,C005,杨,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.5, ""support_mode"": ""ratio""}",13,13,13,13,56.74905204405841,56.74905204405841,0.8734,3,1.0,0.4367,0.0,False,False,0,0.0,0.0,0,0
aoko_set_02,cohesive,C001,柳爱时,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.5, ""support_mode"": ""ratio""}",11,7,9,9,57.795533986332735,59.15574506222943,0.7526,2,0.6666666666666666,0.2508666666666667,0.3412316185732837,False,False,0,0.0,0.0,0,0
aoko_set_02,cohesive,C014,Impey Barbicane,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.5, ""support_mode"": ""ratio""}",12,12,12,12,58.821876950370644,58.821876950370644,0.8556,3,1.0,0.4278,0.0,False,False,0,0.0,0.0,0,0
aoko_set_02,cohesive,C021,Vilio,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.5, ""support_mode"": ""ratio""}",6,6,6,6,65.12462243012197,65.12462243012197,0.8615,3,1.0,0.43075,0.0,False,False,0,0.0,0.0,0,0
aoko_set_02,cohesive,C015,Tyril I Lister,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.5, ""support_mode"": ""ratio""}",12,12,12,12,54.625844288809375,54.625844288809375,0.8615,3,1.0,0.43075,0.0,False,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C019,缘,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.5, ""support_mode"": ""ratio""}",4,1,1,2,62.19812946039798,72.79372001488095,0.7763,2,0.5,0.194075,2.056339236861282,True,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C024,Allan Melville,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.5, ""support_mode"": ""ratio""}",4,1,1,4,61.42491083566408,72.00130930059524,0.7685,2,0.5,0.192125,2.031990555074899,False,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C022,光森壱哉,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.5, ""support_mode"": ""ratio""}",4,3,4,4,61.08536367272348,62.99827008928571,0.7922,2,0.5,0.19805,0.3788511158001496,False,False,0,0.0,0.0,0,0
aoko_set_03,cohesive,C025,平重衡,Gated Rescue,"{""confidence_threshold"": 0.55, ""lambda"": 0.5, ""support_mode"": ""ratio""}",7,5,8,7,56.583898898809515,59.01643191964286,0.7682,2,0.5,0.19205,0.46716796665104426,False,False,0,0.0,0.0,0,0
