character_name,game,personality,archetype,relationship_style,emotional_expression,possessiveness,initiative,danger_level,maturity,humor,gap_moe,keywords
柳爱时,Collar×Malice,冷静正直,可靠年上,守护与并肩,克制,2,4,2,5,2,3,警察;正义感;温柔
冈崎契,Collar×Malice,飘忽敏锐,神秘护卫,危险守护,隐晦,3,4,4,3,4,5,护卫;神秘;反差
笹塚尊,Collar×Malice,毒舌聪明,傲娇天才,斗嘴成长,别扭,2,3,2,3,3,5,毒舌;黑客;甜食
榎本峰雄,Collar×Malice,热血直率,忠犬伙伴,热闹陪伴,直接,2,5,2,2,5,3,热血;忠犬;纯情
亚瑟·格兰伯特,终远的威尔修,温柔坚定,治愈王子,包容守护,坦率,2,4,3,5,2,3,王子;温柔;责任
阿道夫,终远的威尔修,严肃执着,青梅守护者,长久陪伴,克制,4,4,3,4,2,4,青梅竹马;守护;执着
伊夫,终远的威尔修,温和坚韧,悲剧圣人,奉献救赎,温柔,2,4,4,5,2,4,奉献;救赎;坚韧
杨,虔诚之花的晚钟,危险随性,危险领袖,支配与博弈,直接,5,5,5,3,3,4,黑手党;危险;随性
尼古拉·法兰切斯卡,虔诚之花的晚钟,优雅深沉,腹黑绅士,试探拉扯,伪装,4,4,4,5,3,5,绅士;腹黑;优雅
但丁·法尔宗,虔诚之花的晚钟,寡言稳重,年轻首领,责任守护,克制,3,3,3,5,1,4,首领;责任;纯情
吉尔伯特·雷德福,虔诚之花的晚钟,豪爽成熟,魅力领袖,平等并肩,坦率,2,5,3,5,4,2,领袖;成熟;豪爽
土方岁三,薄樱鬼,严谨坚忍,鬼之副长,并肩守护,克制,2,4,4,5,1,3,武士;责任;坚忍
冲田总司,薄樱鬼,戏谑敏感,病弱剑士,挑衅依恋,戏谑,4,4,4,3,5,5,剑士;毒舌;病弱
斋藤一,薄樱鬼,沉默认真,冷面剑士,安静陪伴,含蓄,2,2,3,5,1,4,寡言;剑士;认真
伊佐那社,幻奏咖啡厅-Enchanté-,开朗包容,治愈店长,温柔引导,坦率,1,4,1,5,4,2,店长;治愈;包容
海德,幻奏咖啡厅-Enchanté-,高傲敏感,非人贵族,冲突磨合,强烈,4,4,5,3,2,5,非人;高傲;反差
白石景之,Collar×Malice,淡漠好奇,猫系谜团,观察与觉醒,迟钝,3,2,4,3,3,5,猫系;谜团;纯粹
圣日耳曼,Code:Realize,优雅疏离,不死人管家,宿命救赎,隐晦,4,4,5,5,2,5,不死;优雅;宿命
