"canonical_tag","category","definition","include_when","do_not_use_when","synonyms","spoiler_risk","deprecated_aliases","governance_status"
"阳光","A_PERSONALITY_VIBE","持续外向积极并带来明亮体验","积极外放构成主要吸引力","仅因笑容或单次乐观","开朗;元气","low","阳光系","ACTIVE"
"冷感","A_PERSONALITY_VIBE","持续保持情感距离或冷淡气质","冷淡疏离是稳定体验","只因视觉清冷","清冷;冷淡","low","清冷系","ACTIVE"
"温柔","A_PERSONALITY_VIBE","稳定体贴并关注他人感受","温和关怀是核心人格吸引力","仅有一次帮助行为","柔和;体贴","low","温柔系","ACTIVE"
"毒舌","A_PERSONALITY_VIBE","尖锐言语构成持续互动魅力","反复以犀利言语互动","普通直率或偶尔批评","嘴毒","low","","ACTIVE"
"腹黑","A_PERSONALITY_VIBE","表面可控而持续展现策略性坏心眼","策略与反差反复出现","仅因聪明或神秘","笑面虎;黑心","medium","","ACTIVE"
"天然","A_PERSONALITY_VIBE","非刻意的迟钝或脱线形成魅力","天然反应持续出现","仅因缺乏常识","天然呆","low","","ACTIVE"
"成熟可靠","A_PERSONALITY_VIBE","成熟可信赖本身就是角色的高识别度核心萌点","可靠行为反复出现且玩家会首先以成熟可靠识别角色","仅有成熟度高或情绪稳定或年长或有责任感","沉稳;责任感强;可靠系","low","成熟系;稳重","ACTIVE"
"傲娇","A_PERSONALITY_VIBE","拒斥外在与真实关心形成稳定张力","嘴硬心软反复出现","一次争执或普通慢热","嘴硬心软;tsundere","low","","ACTIVE"
"疯感","A_PERSONALITY_VIBE","失序或极端感本身构成鲜明吸引力","持续呈现危险的情绪失序","仅有创伤或一次失控","疯批;疯狂感","medium","疯批系","ACTIVE"
"理性沉稳","A_PERSONALITY_VIBE","以逻辑和稳定判断面对事件","理性克制为反复表现","仅因话少","理性;克制人格","low","","ACTIVE"
"热血","A_PERSONALITY_VIBE","情绪与行动能量都显著外放，以近乎夸张的激情、冲锋感或感染力形成核心辨识度","高能量外放、强烈激情表达、行动冲锋或感染他人至少反复满足两项，并且是角色最鲜明的萌点之一","仅积极认真、专注努力、行动力强、隐藏热情、守护欲或年轻开朗；冷静寡言者不得因关键时刻拼命判定","热血汉;燃系;激情冲锋型","low","","ACTIVE"
"危险系","B_APPEAL_ARCHETYPE","角色本人带来实质威胁与危险吸引","危险是核心幻想而非职业标签","仅因杀手或黑道身份","危险感;危险男","medium","","ACTIVE"
"神秘系","B_APPEAL_ARCHETYPE","信息遮蔽和难以看透构成主要吸引力","持续保留关键未知","只有隐藏身份剧透","神秘感;谜系","medium","","ACTIVE"
"反差萌","B_APPEAL_ARCHETYPE","两种稳定面向形成显著魅力反差","反差本身是核心卖点","一次反常行为","白切黑;黑切白;表里不一","medium","","ACTIVE"
"年上感","B_APPEAL_ARCHETYPE","成熟照顾和阅历形成鲜明年长幻想","年长式照顾或阅历是前三核心吸引力","只有实际年龄较大或职位较高","年上;爹系","low","","ACTIVE"
"少年感","B_APPEAL_ARCHETYPE","青春轻快或青涩感构成吸引力","少年式体验稳定突出","只有年轻或学生身份","弟系;少年系","low","","ACTIVE"
"色气","B_APPEAL_ARCHETYPE","性感张力构成稳定角色吸引","表达或气场持续具有性感张力","仅因裸露服装","色气系;性感","low","","ACTIVE"
"非人感","B_APPEAL_ARCHETYPE","非人存在方式显著塑造恋爱幻想","物种差异持续影响关系体验","仅是世界观身份","人外;神明;妖怪;幽灵;机器人","medium","","ACTIVE"
"精英感","B_APPEAL_ARCHETYPE","能力与自持形成高完成度精英幻想","卓越能力持续参与吸引力","仅因职业头衔","天才;强者;高规格","low","","ACTIVE"
"脆弱感","B_APPEAL_ARCHETYPE","可感知的脆弱面形成重要吸引力","脆弱被持续呈现且非单次受伤","仅因病弱或战损","病弱;战损;脆弱","medium","","ACTIVE"
"强者感","B_APPEAL_ARCHETYPE","压倒性能力或意志构成核心幻想","强大本身持续塑造互动","普通胜任工作","强者系","low","","ACTIVE"
"直球主动","C_ROMANCE_DYNAMIC","主动而清楚地推进恋爱关系","角色本人反复主动表达或行动","仅性格直率","直球;主动型","low","","ACTIVE"
"慢热","C_ROMANCE_DYNAMIC","关系经过较长积累才明确升温","慢热过程是路线核心体验","仅表达较少","日久生情;慢热型","low","","ACTIVE"
"高拉扯","C_ROMANCE_DYNAMIC","靠近与退离反复制造高强度关系张力","双向推拉贯穿路线且是首要恋爱体验","普通慢热或一次误会或数值刚过阈值","拉扯型;推拉感","medium","","ACTIVE"
"强守护","C_ROMANCE_DYNAMIC","持续以行动保护女主且构成核心体验","多次直接保护并尊重主体性","只有职业职责","保护者;高保护欲;守护系","medium","温柔守护;保护型","ACTIVE"
"高奉献","C_ROMANCE_DYNAMIC","愿为关系持续付出重大成本","奉献有重复或高成本行为","仅说喜欢","纯爱战士;忠犬;深情奉献","medium","","ACTIVE"
"高依赖","C_ROMANCE_DYNAMIC","角色明显需要女主维持情绪或生活稳定","依赖持续影响关系","只有亲密需求","焦虑型依恋;高亲密需求","medium","","ACTIVE"
"强占有","C_ROMANCE_DYNAMIC","排他性与占有欲持续突出","占有行为清楚且反复","一次吃醋","偏执占有;高占有","medium","","ACTIVE"
"强嫉妒","C_ROMANCE_DYNAMIC","嫉妒反应频繁且构成互动体验","多次明确嫉妒","只有占有欲推断","高吃醋;醋王","medium","","ACTIVE"
"控制型","C_ROMANCE_DYNAMIC","持续试图限制或替女主决定","控制行为反复且影响关系","保护行为或一次建议","强势控制;掌控型","high","","ACTIVE"
