character_id,character_name,game,series,route_type,visual_maturity,physical_presence,hair_length,hair_color,eye_tags,appearance_details,visual_vibe_tags,warmth,extroversion,emotional_expression,personality_maturity,humor,cunning,emotional_stability,personality_tags,danger_level,mystery_level,gap_moe,age_position_tags,role_fantasy_tags,relationship_trope_tags,archetype_tags,initiative,possessiveness,protectiveness,dependence,jealousy,push_pull,devotion,control,romance_tags,keywords
C001,柳爱时,Collar×Malice,Collar×Malice,攻略角色,3,3,短发,黑发,细长眼;温柔眼,,清爽;少年感,4,2,3,5,3,2,5,沉稳;责任感强;理性,2,2,3,年上,警察,并肩作战;保护者×被保护者,可靠系;保护者,4,2,5,2,2,2,5,1,安全型恋爱;陪伴型;成年人恋爱;纯爱,
C002,冈崎契,Collar×Malice,Collar×Malice,攻略角色,2.5,3,短发,特殊发色,,,柔和感;无害感,3.5,3,3.5,2.5,3.5,3.5,2.5,天然,3.5,4,4.5,年上,警察,保护者×被保护者,,4.5,4.5,5,4.5,4,4,4.5,3,拉扯型,
C003,笹塚尊,Collar×Malice,Collar×Malice,攻略角色,2.5,2.5,,,,,少年感;精英感,2.5,2.5,3,3.5,3,3.5,3.5,毒舌;傲娇;理性,2.5,3,4.5,年上,黑客,欢喜冤家,猫系;天才,3.5,2.5,4,2,3,4,4,2.5,慢热;拉扯型,
C004,榎本峰雄,Collar×Malice,Collar×Malice,攻略角色,2.5,3.5,短发,红发,,眼罩,少年感;无害感,4,5,5,2,4,1,3,阳光;直球,1,1,3,年上,警察,并肩作战,犬系;可靠系,5,2,4,3,2,1.5,4,1,纯爱;陪伴型,
C005,杨,虔诚之花的晚钟,虔诚之花的晚钟,攻略角色,4,4,长发,红发,细长眼;锐利眼,,危险感;色气;野性,1.5,4,3,3,4,4.5,2,疯批;腹黑;强势,5,5,4,年上,黑道;组织首领,敌对恋爱;相爱相杀,危险系;神秘系;色气系,5,4.5,2.5,1.5,3,5,2.5,4.5,拉扯型;烂人真心;禁断感;强情绪浓度,
C006,尼古拉·法兰切斯卡,虔诚之花的晚钟,虔诚之花的晚钟,攻略角色,4,3,,,,,柔和感;贵气,3,4,3.5,4,3.5,5,4,,4.5,4.5,3,,黑道,,神秘系,4,4,3.5,2.5,3.5,4.5,4,3.5,拉扯型,
C007,吉尔伯特·雷德福,虔诚之花的晚钟,虔诚之花的晚钟,攻略角色,4.5,4,短发,棕发,,,贵气;色气,4,5,4,4.5,4,3.5,4.5,强势;自信,4,2,3,年上,黑道;组织首领,并肩作战,可靠系,4.5,3,4.5,2.5,3,2,4,2,成年人恋爱,
C008,斋藤一,薄樱鬼,薄樱鬼,攻略角色,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,
C009,伊夫,终远的威尔修,终远的威尔修,攻略角色,3,3.5,,,,,,5,4,4,4.5,3,1.5,4,责任感强,2.5,2.5,2,,,救赎;并肩作战,可靠系;保护者;救赎系,4,2,5,3,2,3,5,1.5,陪伴型;纯爱,
C010,阿道夫,终远的威尔修,终远的威尔修,攻略角色,4,4,短发,黑发,,,成年人感,4,2.5,2.5,4,2.5,2,4,沉稳;责任感强,2.5,2.5,3,年上,自警团,青梅竹马,可靠系,4,2.5,5,3,2.5,3.5,5,1.5,陪伴型;纯爱,
C011,鴻上滉,ニル・アドミラリの天秤,ニル・アドミラリの天秤,攻略角色,3,3,短发,黑发,细长眼,,清冷感;危险感,2.5,1.5,2,4,2,2,4,清冷;沉稳;理性,4,4,4,年上,,救赎;并肩作战,神秘系;危险系;高岭之花,3.5,2.5,4,2,2.5,4,3.5,2,慢热;克制型;陪伴型;纯爱,
C012,Crius Castlerock,even if TEMPEST,even if TEMPEST,攻略角色,4.5,4,短发,金发,,,贵气;精英感,4,4.5,3,4.5,3.5,4,4,沉稳;责任感强;腹黑,2,3,4.5,年上,骑士,并肩作战,可靠系;保护者;人夫感,4.5,4,4.5,4,4,3,5,2.5,高亲密需求;成年人恋爱;纯爱,
C013,响,9 R.I.P.,9 R.I.P.,攻略角色,2,2,,,,,,3.5,1.5,3,2.5,2,2.5,2,,4,3.5,4.5,,幽灵,救赎;禁忌之恋,病娇,4.5,5,4,5,3.5,5,4,4,禁断感;强情绪浓度,
