reviewer,set_id,set_kind,variant,selected_ids,selected_characters,target_id,positive_target,rank,raw_match,adjusted_match,candidate_pool_percentile,top_pool_percent,top5_spread,core_xp_match,best_multi_character_branch_match,hidden_singleton_branch_match,branch_base_rank,multi_branch_rank,branch_final_rank,branch_rerank_bonus,salience_rank,branch_outlier,failure_type
aoko,aoko_set_01,cohesive,Baseline,C024;C015;C005,Allan Melville;Tyril I Lister;杨,C019,缘,1,68.49699253113923,67.95459326073563,100.0,3.7037037037037037,7.388226047627171,70.22,70.22,,1,1,1,0.3274,1,False,TYPE A
aoko,aoko_set_01,cohesive,Baseline,C019;C015;C005,缘;Tyril I Lister;杨,C024,Allan Melville,3,63.23705201518105,63.073499092266395,92.3076923076923,11.11111111111111,5.925615516389065,65.14,65.14,,2,2,1,0.4227,2,False,TYPE A
aoko,aoko_set_01,cohesive,Baseline,C019;C024;C005,缘;Allan Melville;杨,C015,Tyril I Lister,9,58.321910572735256,55.561611093568594,69.23076923076923,33.333333333333336,3.7480325653763984,55.57,55.57,,10,10,10,0.0,11,False,TYPE D
aoko,aoko_set_01,cohesive,Baseline,C019;C024;C015,缘;Allan Melville;Tyril I Lister,C005,杨,14,54.45121354861418,54.806945347545934,50.0,51.851851851851855,2.931401034560899,56.75,56.75,,13,13,12,0.5109,14,False,TYPE D
aoko,aoko_set_02,cohesive,Baseline,C014;C021;C015,Impey Barbicane;Vilio;Tyril I Lister,C001,柳爱时,11,55.53225449061699,57.77909262531892,61.53846153846154,40.74074074074074,9.297780811629096,57.8,59.16,,11,9,11,0.0,12,False,TYPE D
aoko,aoko_set_02,cohesive,Baseline,C001;C021;C015,柳爱时;Vilio;Tyril I Lister,C014,Impey Barbicane,9,56.73970496170425,58.79251411739769,69.23076923076923,33.333333333333336,6.209159715057048,58.82,58.82,,12,12,12,1.0102,8,False,TYPE D
aoko,aoko_set_02,cohesive,Baseline,C001;C014;C015,柳爱时;Impey Barbicane;Tyril I Lister,C021,Vilio,5,67.87654115778814,65.1069480161519,84.61538461538461,18.51851851851852,4.021095945304111,65.12,65.12,,6,6,6,0.4821,5,False,TYPE A
aoko,aoko_set_02,cohesive,Baseline,C001;C014;C021,柳爱时;Impey Barbicane;Vilio,C015,Tyril I Lister,11,57.58505646764749,54.617835982130956,61.53846153846154,40.74074074074074,7.713391406521282,54.63,54.63,55.6,12,12,12,0.0,12,False,TYPE D
aoko,aoko_set_03,cohesive,Baseline,C024;C022;C025;C026,Allan Melville;光森壱哉;平重衡;YOFY,C019,缘,4,61.30648496240602,61.937254962406016,88.0,15.384615384615385,5.430916170634937,62.2,72.79,,4,1,4,0.0,4,False,TYPE A
aoko,aoko_set_03,cohesive,Baseline,C019;C022;C025;C026,缘;光森壱哉;平重衡;YOFY,C024,Allan Melville,4,60.07053571428571,60.41925772321428,88.0,15.384615384615385,6.691107094294594,61.42,72.0,,4,1,4,0.0,4,False,TYPE A
aoko,aoko_set_03,cohesive,Baseline,C019;C024;C025;C026,缘;Allan Melville;平重衡;YOFY,C022,光森壱哉,4,59.12044825605681,61.08536367272347,88.0,15.384615384615385,7.491684644660893,61.09,63.0,,4,4,4,0.0,4,False,TYPE A
aoko,aoko_set_03,cohesive,Baseline,C019;C024;C022;C026,缘;Allan Melville;光森壱哉;YOFY,C025,平重衡,7,54.8363988095238,55.799023898809516,76.0,26.923076923076923,5.541068214285723,56.58,59.02,,7,8,7,0.0,9,False,TYPE D
aoko,aoko_set_03,cohesive,Baseline,C019;C024;C022;C025,缘;Allan Melville;光森壱哉;平重衡,C026,YOFY,10,53.155178571428564,54.38305316964285,64.0,38.46153846153846,8.856744439935056,55.17,57.69,,9,11,9,0.0,12,False,TYPE D
aoko,aoko_set_04,mixed,Baseline,C001;C014;C026;C025,柳爱时;Impey Barbicane;YOFY;平重衡,C005,杨,26,45.725325848042566,46.684893508382416,0.0,100.0,3.2534865376984,47.07,53.88,,26,25,26,0.0,26,True,TYPE D
aoko,aoko_set_04,mixed,Baseline,C005;C014;C026;C025,杨;Impey Barbicane;YOFY;平重衡,C001,柳爱时,26,42.75189123376623,43.588828790584415,0.0,100.0,6.050296313131319,43.95,50.06,,26,25,26,0.0,25,True,TYPE D
aoko,aoko_set_04,mixed,Baseline,C005;C001;C026;C025,杨;柳爱时;YOFY;平重衡,C014,Impey Barbicane,26,42.771677061973115,44.95689549947311,0.0,100.0,5.331744284361477,45.03,50.07,,26,26,26,0.0,26,True,TYPE D
aoko,aoko_set_04,mixed,Baseline,C005;C001;C014;C025,杨;柳爱时;Impey Barbicane;平重衡,C026,YOFY,26,45.54878427128427,46.80981514926046,0.0,100.0,2.211734250992059,47.31,54.41,,26,25,26,0.0,25,True,TYPE D
aoko,aoko_set_04,mixed,Baseline,C005;C001;C014;C026,杨;柳爱时;Impey Barbicane;YOFY,C025,平重衡,25,51.50164682539682,52.23391133432539,4.0,96.15384615384616,2.192524558677647,52.67,61.5,,25,16,25,0.0,24,True,TYPE D
aoko,aoko_set_05,mixed,Baseline,C019;C015;C022;C021,缘;Tyril I Lister;光森壱哉;Vilio,C001,柳爱时,26,47.91163843402973,49.84628970296913,0.0,100.0,3.256675840756465,51.63,58.78,,25,22,25,0.0,26,True,TYPE D
aoko,aoko_set_05,mixed,Baseline,C001;C015;C022;C021,柳爱时;Tyril I Lister;光森壱哉;Vilio,C019,缘,15,55.19010562558356,57.03437965336134,44.0,57.69230769230769,3.5971758345819254,58.82,65.51,,13,9,13,0.0,17,True,TYPE D
aoko,aoko_set_05,mixed,Baseline,C001;C019;C022;C021,柳爱时;缘;光森壱哉;Vilio,C015,Tyril I Lister,14,61.79047161172161,58.36390348672161,48.0,53.84615384615385,2.8891393849206395,58.36,55.35,,16,21,16,0.0,14,False,TYPE D
aoko,aoko_set_05,mixed,Baseline,C001;C019;C015;C021,柳爱时;缘;Tyril I Lister;Vilio,C022,光森壱哉,23,48.35499503968254,50.40430667162698,12.0,88.46153846153847,2.795638664096323,52.45,56.6,,22,21,22,0.0,23,False,TYPE D
aoko,aoko_set_05,mixed,Baseline,C001;C019;C015;C022,柳爱时;缘;Tyril I Lister;光森壱哉,C021,Vilio,17,58.60453373015873,56.80150966765872,36.0,65.38461538461539,1.841732281746033,56.8,59.03,,17,17,17,0.0,14,False,TYPE D
aoko,aoko_set_06,mixed,Baseline,C014;C024;C025;C021,Impey Barbicane;Allan Melville;平重衡;Vilio,C005,杨,25,47.43159408939014,48.35629602391395,4.0,96.15384615384616,5.607627108134928,49.42,57.45,,25,20,25,0.0,25,True,TYPE D
aoko,aoko_set_06,mixed,Baseline,C005;C024;C025;C021,杨;Allan Melville;平重衡;Vilio,C014,Impey Barbicane,25,46.554373346560844,48.231634775958995,4.0,96.15384615384616,7.616945970695973,48.31,56.05,,25,25,25,0.0,24,True,TYPE D
aoko,aoko_set_06,mixed,Baseline,C005;C014;C025;C021,杨;Impey Barbicane;平重衡;Vilio,C024,Allan Melville,18,52.91039682539682,53.83378890873015,32.0,69.23076923076923,5.5831457184767785,54.76,55.44,,13,15,13,0.0,12,False,TYPE D
aoko,aoko_set_06,mixed,Baseline,C005;C014;C024;C021,杨;Impey Barbicane;Allan Melville;Vilio,C025,平重衡,23,50.959093720821656,51.996152054155,12.0,88.46153846153847,3.6303678470426703,52.35,57.73,,23,17,23,0.0,17,True,TYPE D
aoko,aoko_set_06,mixed,Baseline,C005;C014;C024;C025,杨;Impey Barbicane;Allan Melville;平重衡,C021,Vilio,9,59.14365800865801,56.2661461715368,68.0,34.61538461538461,6.674768954181033,56.27,64.51,,10,5,10,0.0,7,True,TYPE C
