"character_id","character_name","game_id","game","candidate_tag_1","candidate_tag_2","candidate_tag_3","candidate_tag_4","candidate_tag_5","candidate_tag_6","tag_1","tag_2","tag_3","tag_1_type","tag_2_type","tag_3_type","annotation_source","evidence_url","evidence_summary","confidence","qa_risk","qa_reason","status","spoiler_sensitive","new_tag_proposal","review_action","review_note"
"C215","尾崎隼人","G057","冷然之天秤 黑百合炎阳谭","热血","阳光","成熟可靠","直球主动","强守护","","热血","成熟可靠","直球主动","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/smp/nil-admirari/fd/chara.php","正义感强、行动直接，恋爱态度明确。","A","LOW","","AUTO_PASS","false","","",""
"C216","星川翡翠","G057","冷然之天秤 黑百合炎阳谭","温柔","少年感","脆弱感","慢热","高依赖","","脆弱感","慢热","高依赖","SELF","ROMANCE","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/smp/nil-admirari/fd/chara.php","温柔认真，但 SELF 第二位与关系依赖度仍有接近候选。","HUMAN_CONFIRMED","LOW","","HUMAN_CALIBRATED","false","","KEEP_REVIEWER_FINAL;JUSTIFIED_1_SELF_2_ROMANCE","Reviewer-confirmed public-facing Core Tags"
"C217","Kaguya","G058","大正×对称爱丽丝 all in one","色气","阳光","脆弱感","救赎感","高拉扯","","色气","脆弱感","救赎感","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.prot.co.jp/psv/taishoalice/character.html","表面亲切会调情，内在创伤使救赎体验更突出。","A","LOW","","AUTO_PASS","false","","",""
"C218","Gretel","G058","大正×对称爱丽丝 all in one","腹黑","少年感","毒舌","强占有","高依赖","","腹黑","少年感","强占有","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.prot.co.jp/psv/taishoalice/character.html","优等生外表下有强烈本性与占有欲。","A","LOW","","AUTO_PASS","false","","",""
"C219","Snow White","G058","大正×对称爱丽丝 all in one","冷感","毒舌","脆弱感","慢热","低表达","","冷感","毒舌","慢热","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.prot.co.jp/psv/taishoalice/character.html","寡言冷淡、表达迂回，毒舌与慢热辨识度高。","A","LOW","","AUTO_PASS","false","","",""
"C220","Wizard","G058","大正×对称爱丽丝 all in one","神秘系","反差萌","腹黑","高拉扯","宿命感","","神秘系","反差萌","高拉扯","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.prot.co.jp/psv/taishoalice/character.html","跨故事出现且目的不明，关系体验存在剧透敏感的相近解释。","HUMAN_CONFIRMED","LOW","","HUMAN_CALIBRATED","false","","KEEP_REVIEWER_FINAL;SPOILER_SAFE","Reviewer-confirmed public-facing Core Tags"
"C221","Alice","G058","大正×对称爱丽丝 all in one","毒舌","冷感","少年感","陪伴成长","慢热","","毒舌","冷感","陪伴成长","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.prot.co.jp/psv/taishoalice/character.html","语言锋利且疏离，关系核心更偏共同成长。","A","LOW","","AUTO_PASS","false","","",""
"C222","ユリウス・フォルトナー","G059","Wand of Fortune R2","天然","精英感","阳光","直球主动","陪伴成长","","天然","精英感","直球主动","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/wandoffortune/vita/chara/","天然的学者型高能力者，感情表达直接；认真行动不等于外放热血。","A","LOW","","HUMAN_CALIBRATED","false","","REPLACE","热血→精英感"
"C223","ビラール・アサド・イスナーン・ファランバルド","G059","Wand of Fortune R2","温柔","年上感","成熟可靠","稳定恋爱","强守护","","温柔","年上感","稳定恋爱","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/wandoffortune/vita/chara/","从容温和的年长气质与稳定关系体验突出。","A","LOW","","AUTO_PASS","false","","",""
"C224","ラギ・エル・ナギル","G059","Wand of Fortune R2","傲娇","少年感","热血","欢喜冤家","直球主动","","傲娇","少年感","欢喜冤家","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/wandoffortune/vita/chara/","少年气和嘴硬反应鲜明，互动以斗嘴磨合见长。","A","LOW","","AUTO_PASS","false","","",""
"C225","ソロ・モーン","G059","Wand of Fortune R2","神秘系","腹黑","冷感","高拉扯","宿命感","","神秘系","腹黑","高拉扯","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/wandoffortune/vita/chara/","身份与动机神秘，但腹黑和冷感的 SELF 排序接近。","HUMAN_CONFIRMED","LOW","","HUMAN_CALIBRATED","false","","KEEP_REVIEWER_FINAL","Reviewer-confirmed public-facing Core Tags"
"C226","Karakurenai","G060","花合朔 Complete Collection","危险系","强者感","疯感","强占有","刺激型","","危险系","强者感","强占有","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://dramaticcreate.com/hana-saku/zh-tw/character.html","好战自信、以力量试探他人，占有欲明确。","A","LOW","","AUTO_PASS","false","","",""
"C227","Utsutsu","G060","花合朔 Complete Collection","神秘系","脆弱感","高依赖","强占有","宿命感","","神秘系","脆弱感","高依赖","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://dramaticcreate.com/hana-saku/zh-tw/character.html","神秘疏离又强烈依恋，关系依赖是核心体验。","A","LOW","","AUTO_PASS","false","","",""
"C228","Iroha","G060","花合朔 Complete Collection","冷感","强者感","精英感","慢热","低表达","","冷感","强者感","慢热","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://dramaticcreate.com/hana-saku/zh-tw/character.html","高度自律强大且少情绪表达，温柔逐步显现。","A","LOW","","AUTO_PASS","false","","",""
"C229","Canus Espada","G061","幻奏咖啡厅 Enchante","非人感","成熟可靠","温柔","强守护","稳定恋爱","","非人感","成熟可靠","强守护","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/enchante/","非人骑士身份、可靠温柔与守护行动高度一致。","A","LOW","","AUTO_PASS","false","","",""
"C230","Ignis Carbunculus","G061","幻奏咖啡厅 Enchante","热血","傲娇","反差萌","直球主动","欢喜冤家","","热血","傲娇","直球主动","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/enchante/","高能行动派且嘴硬心软，恋爱表达直接。","A","LOW","","AUTO_PASS","false","","",""
"C231","Kaoru Rindo","G061","幻奏咖啡厅 Enchante","年上感","温柔","成熟可靠","稳定恋爱","高奉献","","年上感","温柔","稳定恋爱","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/enchante/","成熟温柔的人类年长者，关系体验安定。","A","LOW","","AUTO_PASS","false","","",""
"C232","Il Fado de Rie","G061","幻奏咖啡厅 Enchante","天然","非人感","反差萌","陪伴成长","治愈系","","天然","非人感","陪伴成长","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/enchante/","非人身份与天然兴趣形成辨识度，关系核心偏成长。","A","LOW","","AUTO_PASS","false","","",""
"C233","Misyr Rex","G061","幻奏咖啡厅 Enchante","神秘系","阳光","反差萌","高拉扯","宿命感","","神秘系","阳光","宿命感","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.otomate.jp/enchante/","明快外在与神秘背景反差大，ROMANCE 第一位接近宿命感。","HUMAN_CONFIRMED","LOW","","HUMAN_CALIBRATED","false","","REPLACE 高拉扯 → 宿命感;SPOILER_SAFE","Reviewer-confirmed public-facing Core Tags"
"C234","Eltcreed Valentine","G062","Steam Prison","色气","成熟可靠","阳光","直球主动","稳定恋爱","","色气","成熟可靠","直球主动","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.hunex.co.jp/steamprison/nsw/en/characters.html","礼貌可靠但善于调情且话多，主动追求最突出。","A","LOW","","AUTO_PASS","false","","",""
"C235","Ulrik Ferrie","G062","Steam Prison","毒舌","傲娇","少年感","慢热","低表达","","毒舌","傲娇","慢热","SELF","SELF","ROMANCE","v6_5_public_evidence_draft","https://www.hunex.co.jp/steamprison/nsw/en/characters.html","疏离讽刺且嘴硬，关系需要逐步建立信任。","A","LOW","","AUTO_PASS","false","","",""
