character_id,character_name,game,current_tag_1,current_tag_2,current_tag_3,alt_tag_1,alt_tag_2,alt_tag_3,confidence,review_reason,status,review_action,review_note
C001,柳爱时,Collar×Malice,成熟可靠,温柔,稳定恋爱,强守护,理性沉稳,并肩恋爱,A_PENDING_HUMAN_CONFIRMATION,ANCHOR_AWAITING_HUMAN_CONFIRMATION;GENERIC_TAG_DOMINANCE,HUMAN_CALIBRATED,KEEP,human_calibrated_anchor=true
C002,冈崎契,Collar×Malice,反差萌,天然,高拉扯,强守护,高奉献,年上感,B,,AUTO_MIGRATION_READY,,
C003,笹塚尊,Collar×Malice,毒舌,理性沉稳,高拉扯,欢喜冤家,精英感,傲娇,B,,AUTO_MIGRATION_READY,,
C004,榎本峰雄,Collar×Malice,阳光,热血,直球主动,陪伴成长,少年感,并肩恋爱,A_PENDING_HUMAN_CONFIRMATION,ANCHOR_AWAITING_HUMAN_CONFIRMATION;TEMPLATE_COMBINATION_CHECK,HUMAN_CALIBRATED,KEEP,human_calibrated_anchor=true
C005,杨,虔诚之花的晚钟,危险系,疯感,高拉扯,刺激型,腹黑,色气,A_PENDING_HUMAN_CONFIRMATION,ANCHOR_AWAITING_HUMAN_CONFIRMATION,HUMAN_CALIBRATED,KEEP,human_calibrated_anchor=true
C006,尼古拉·法兰切斯卡,虔诚之花的晚钟,危险系,神秘系,强占有,高拉扯,高奉献,成熟可靠,B,,AUTO_MIGRATION_READY,,
C007,吉尔伯特·雷德福,虔诚之花的晚钟,色气,强守护,稳定恋爱,并肩恋爱,年上感,成熟可靠,B_REVIEW,COMPOSITION_EXCEPTION,AUTO_APPROVED_BY_CALIBRATION,AUTO_APPROVED_BY_CALIBRATION,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE
C009,伊夫,终远的威尔修,成熟可靠,救赎感,陪伴成长,强守护,高奉献,并肩恋爱,B_REVIEW,COMPOSITION_EXCEPTION,AUTO_APPROVED_BY_CALIBRATION,AUTO_APPROVED_BY_CALIBRATION,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE
C010,阿道夫,终远的威尔修,成熟可靠,陪伴成长,强守护,高奉献,低表达,年上感,B_REVIEW,COMPOSITION_EXCEPTION,AUTO_APPROVED_BY_CALIBRATION,AUTO_APPROVED_BY_CALIBRATION,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE
C011,鴻上滉,ニル・アドミラリの天秤,冷感,神秘系,慢热,危险系,救赎感,低表达,A_PENDING_HUMAN_CONFIRMATION,ANCHOR_AWAITING_HUMAN_CONFIRMATION,HUMAN_CALIBRATED,KEEP,human_calibrated_anchor=true
C012,Crius Castlerock,even if TEMPEST,成熟可靠,腹黑,高依赖,强守护,并肩恋爱,年上感,A_PENDING_HUMAN_CONFIRMATION,ANCHOR_AWAITING_HUMAN_CONFIRMATION,HUMAN_CALIBRATED,KEEP,human_calibrated_anchor=true
C013,响,9 R.I.P.,非人感,高拉扯,高依赖,救赎感,高情绪浓度,刺激型,B_REVIEW,COMPOSITION_EXCEPTION,HUMAN_CALIBRATED,KEEP,CALIBRATION_REVIEW_KEEP
C014,Impey Barbicane,Code:Realize,热血,阳光,陪伴成长,天然,精英感,并肩恋爱,B,,AUTO_MIGRATION_READY,,
C015,Tyril I Lister,even if TEMPEST,毒舌,傲娇,高拉扯,低表达,并肩恋爱,成熟可靠,B,,AUTO_MIGRATION_READY,,
C016,真島芳樹,蝶之毒 華之鎖,反差萌,腹黑,高情绪浓度,刺激型,理性沉稳,成熟可靠,B,,AUTO_MIGRATION_READY,,
C017,红华,9 R.I.P.,非人感,温柔,陪伴成长,高奉献,并肩恋爱,成熟可靠,B,,AUTO_MIGRATION_READY,,
C018,Kaize Ozma,OVER REQUIEMZ,反差萌,神秘系,宿命感,高奉献,低表达,温柔,B,,AUTO_MIGRATION_READY,,
C019,缘,奥林匹亚的晚宴,腹黑,色气,高拉扯,宿命感,高情绪浓度,年上感,B,,AUTO_MIGRATION_READY,,
C020,Shin,AMNESIA,毒舌,理性沉稳,直球主动,陪伴成长,傲娇,少年感,B,,AUTO_MIGRATION_READY,,
C021,Vilio,绚烂传说马戏团,非人感,阳光,宿命感,陪伴成长,高奉献,天然,B,,AUTO_MIGRATION_READY,,
