character_id,core_tag_1,core_tag_2,core_tag_3,tag_count,migration_status,review_status,source_basis,locked_anchor,confidence,notes,schema_version
C001,成熟可靠,温柔,稳定恋爱,3,MIGRATION_READY,HUMAN_CALIBRATED,human_review_keep;human_calibrated_anchor=true,true,HUMAN_CONFIRMED,human_calibrated_anchor=true,6.3.3
C002,反差萌,天然,高拉扯,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C003,毒舌,理性沉稳,高拉扯,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C004,阳光,热血,直球主动,3,MIGRATION_READY,HUMAN_CALIBRATED,human_review_keep;human_calibrated_anchor=true,true,HUMAN_CONFIRMED,human_calibrated_anchor=true,6.3.3
C005,危险系,疯感,高拉扯,3,MIGRATION_READY,HUMAN_CALIBRATED,human_review_keep;human_calibrated_anchor=true,true,HUMAN_CONFIRMED,human_calibrated_anchor=true,6.3.3
C006,危险系,神秘系,强占有,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C007,色气,强守护,稳定恋爱,3,MIGRATION_READY,AUTO_APPROVED_BY_CALIBRATION,auto_approved_by_calibration,false,CALIBRATION_PASS,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE,6.3.3
C009,成熟可靠,救赎感,陪伴成长,3,MIGRATION_READY,AUTO_APPROVED_BY_CALIBRATION,auto_approved_by_calibration,false,CALIBRATION_PASS,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE,6.3.3
C010,成熟可靠,陪伴成长,强守护,3,MIGRATION_READY,AUTO_APPROVED_BY_CALIBRATION,auto_approved_by_calibration,false,CALIBRATION_PASS,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE,6.3.3
C011,冷感,神秘系,慢热,3,MIGRATION_READY,HUMAN_CALIBRATED,human_review_keep;human_calibrated_anchor=true,true,HUMAN_CONFIRMED,human_calibrated_anchor=true,6.3.3
C012,成熟可靠,腹黑,高依赖,3,MIGRATION_READY,HUMAN_CALIBRATED,human_review_keep;human_calibrated_anchor=true,true,HUMAN_CONFIRMED,human_calibrated_anchor=true,6.3.3
C013,非人感,高拉扯,高依赖,3,MIGRATION_READY,HUMAN_CALIBRATED,human_review_keep,false,HUMAN_CONFIRMED,CALIBRATION_REVIEW_KEEP,6.3.3
C014,热血,阳光,陪伴成长,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C015,毒舌,傲娇,高拉扯,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C016,反差萌,腹黑,高情绪浓度,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C017,非人感,温柔,陪伴成长,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C018,反差萌,神秘系,宿命感,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C019,腹黑,色气,高拉扯,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C020,毒舌,理性沉稳,直球主动,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C021,非人感,阳光,宿命感,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C022,脆弱感,高拉扯,直球主动,3,MIGRATION_READY,HUMAN_CALIBRATED,human_review_keep,false,HUMAN_CONFIRMED,CALIBRATION_REVIEW_KEEP,6.3.3
C023,理性沉稳,成熟可靠,陪伴成长,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C024,腹黑,色气,唯一例外,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C025,疯感,危险系,强占有,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
C026,少年感,控制型,强占有,3,MIGRATION_READY,HUMAN_CALIBRATED,human_review_keep,false,HUMAN_CONFIRMED,CALIBRATION_REVIEW_KEEP,6.3.3
C027,神秘系,宿命感,强守护,3,MIGRATION_READY,AUTO_APPROVED_BY_CALIBRATION,auto_approved_by_calibration,false,CALIBRATION_PASS,CALIBRATION_SAMPLE_PASS;STATIC_QA_ELIGIBLE,6.3.3
C028,危险系,非人感,高拉扯,3,MIGRATION_READY,AUTO_MIGRATION_READY,v6_1_rule_assisted_combined,false,B,,6.3.3
